"Dog","Seizure","File","Channel","mean","sd","median","max","min","pacf_1","pacf_2","pacf_3","pacf_4","pacf_5","pacf_6","pacf_7","pacf_8","pacf_9","pacf_10"
"5","interictal","1","1","0.137000241902522","37.6592511502483","0","220","-248","0.97100769948569","-0.546029116670922","0.262359060286348","-0.0226713278799344","0.0374440415693863","0.0154485854718074","0.0106630963473205","0.00662146421019244","-0.00603762954221583","-0.00963925468081985"
"5","interictal","1","2","0.327473453283618","33.3960500011761","0","222","-210","0.963072979647674","-0.496294323154816","0.257331957244518","-0.0362754844692014","0.031664138081011","0.00495558639619244","0.00628286427853884","0.00475799390912765","0.00970645851679032","0.00778708454134433"
"5","interictal","1","3","-0.194472944454176","33.2769926339039","0","187","-301","0.945080812426628","-0.432990219793774","0.294394845176571","-0.0554009236782598","0.0530083589275802","0.0193182550600878","0.022199582996531","0.0200522425367215","0.015316759410701","0.00872627333611563"
"5","interictal","1","4","0.403839576920832","47.5694941536057","1","304","-375","0.945886127884785","-0.497725687490088","0.327483768741122","-0.069263250400567","0.0805156238717555","0.0207793845702712","0.0396601803972129","0.0278884584066132","0.0238763667732199","0.0195665687210431"
"5","interictal","1","5","0.257184087818957","27.8716703581207","1","157","-213","0.942160612813723","-0.423856250855786","0.250565626217261","-0.0154155344471735","0.0544151848439977","0.0217472349294561","0.0223218111391079","0.0148114294290938","0.0105804434544798","0.0050438296865445"
"5","interictal","1","6","0.182728159955957","34.5035024707216","1","195","-254","0.934855937364769","-0.521078133994566","0.383614473293165","-0.0358844414057708","0.0971063075790946","0.0614691052942213","0.0534164546747484","0.0329271573911412","0.0191856626155639","0.00800031740740437"
"5","interictal","1","7","-0.363037294695662","32.8440830682751","0","193","-244","0.965104695541682","-0.454397583050793","0.300463285552795","0.000643428372272874","0.0204940759517101","0.0271372511380258","0.00958735329769927","0.0136184923328513","0.00847801123700321","0.00257877782278011"
"5","interictal","1","8","-0.105344377434666","57.1615463026356","1","346","-384","0.97420025146581","-0.47023082559088","0.302444617214128","-0.0602970090878291","0.0638210980767723","0.00449197103277626","0.0102995938799492","0.0025496881193901","0.000440372315707487","-0.00604196320784921"
"5","interictal","1","9","-0.085145516878957","35.1754542265498","0","209","-277","0.971583984739253","-0.466811891769367","0.228224346682613","-0.0345069486220455","0.0109315020434171","-0.00339396202981756","-0.00441707777835994","-0.00626528030011432","-0.000784335879328273","-0.00312380143991862"
"5","interictal","1","10","0.205066606608109","48.9484047523563","0","356","-341","0.959779090403639","-0.406388051810653","0.318051070105683","-0.05125966397741","0.063720821300698","0.0227930710418438","0.0312195382737468","0.0201212768496119","0.0135934602003757","0.00832747182268498"
"5","interictal","1","11","0.334526163008934","37.5025564759114","0","341","-273","0.948136198201611","-0.411289010770786","0.339782999487076","-0.0677232743604063","0.0548365417454044","0.00630532841442532","0.0154321885521125","0.00763176531463897","-0.000355864304929463","-0.00661929429368343"
"5","interictal","1","12","-0.243132887899035","54.9301746435341","0","401","-364","0.970614846201157","-0.528019253094751","0.254778911363236","-0.061437272229062","0.06065225737272","0.0119932920259713","0.00520885873010328","-0.00356841533394772","0.00141596603481229","-0.00506821125819642"
"5","interictal","1","13","-0.195382164276837","51.9203192088856","1","295","-393","0.958091554074789","-0.522740448078761","0.293839906648053","-0.0517481995595273","0.0666682318997652","0.0206179880040633","0.0268144290299134","0.0153187766355508","0.0182341876630338","0.0134805208238232"
"5","interictal","1","14","0.242661595055179","34.425344163037","0","273","-208","0.958069859277822","-0.427869094016547","0.28620376954156","-0.0263168363618249","0.0374141979533088","0.0220440631847607","0.0244239211392724","0.014761997665118","0.00683624545187092","0.00228927126648839"
