"dog","seizure","segment","channel","0_quantile","25_quantile","50_quantile","75_quantile","100_quantile","mean","sd","pacf_1","pacf_2","pacf_3","pacf_4","pacf_5","pacf_6","pacf_7","ar6_mu","ar6_ar1","ar6_ar2","ar6_ar3","ar6_ar4","ar6_ar5","ar6_ar6","ar6_sigma2","ar6_aic","ar7_mu","ar7_ar1","ar7_ar2","ar7_ar3","ar7_ar4","ar7_ar5","ar7_ar6","ar7_ar7","ar7_sigma2","ar7_aic"
"2","interictal","1","1","-192","-16","0","17","165","28.8007547153667","0.235462909670262","0.963434532985413","-0.443046316003849","0.240526948562886","-0.0131329050659413","0.0323227742428742","0.00702121055455399","0.00445521122164895","0.235462909670262","1.50027699538648","-0.795782034033089","0.283759587637568","-0.0560675198013431","0.0217761244416281","0.00702853377032397","45.0288870984067","912878.748052123","0.235462909670262","1.50024589523272","-0.795878380129263","0.284007651493833","-0.0573229904533152","0.0252969981641382","0.000390677488753652","0.00442442092512119","45.02800620744","912876.054604618"
"2","interictal","1","2","-185","-17","0","17","171","28.1888064961347","-0.216402659259445","0.966724167865732","-0.4844995350295","0.22524722788742","-0.0381432813340946","0.00998028388596898","-0.00340541065101155","0.000305763657331715","-0.216402659259445","1.5532853771268","-0.841672700811231","0.293578699613598","-0.0565338254437189","0.0152925441731046","-0.00341869224510073","37.7148158566958","870379.156283206","-0.216402659259445","1.55328639647121","-0.841677261974696","0.293595561957071","-0.0566213909419794","0.0155435893748814","-0.00388198992364145","0.000298269527301212","37.7148125234018","870381.134953094"
"2","interictal","1","3","-195","-18","0","18","228","30.7483156281168","0.00692341699823992","0.961819448639834","-0.4821193998857","0.2673937089159","-0.0530522258456373","0.0144864115376699","0.0103066089910008","0.00412736977205429","0.00692341699823992","1.56935283688387","-0.913612744502209","0.359549638012572","-0.0665647430058615","-0.00158665539260296","0.0102845886165699","50.3049656486459","939443.701977785","0.00692341699823992","1.56930981868219","-0.913606113615992","0.359828147596132","-0.0680690889588177","0.00223586668667272","0.00371847657898713","0.00418396114667633","50.3040844475093","939441.504834051"
"2","interictal","1","4","-200","-17","0","15","250","30.1277194308077","-0.397045452649667","0.963606566070137","-0.367855637274426","0.239869380971066","0.0124658494293092","0.0114462093508904","0.0127540315144953","0.00633204743010483","-0.397045452649667","1.40307010372263","-0.678068682622844","0.227181699600428","0.005036975387618","-0.00646457688432323","0.0127780197993951","52.8327809055998","951198.728394631","-0.397045452649667","1.40298926232261","-0.678027779617775","0.2271498264089","0.0035994510037356","-0.00217400305584401","0.00389989567876983","0.0063276431976992","52.8306653676852","951191.128470727"
"2","interictal","1","5","-130","-12","0","12","131","19.2584496734819","-0.0069359291976344","0.951174975165484","-0.387700107171654","0.168379697533926","0.0083589695816704","0.0114091389641303","0.0185299878092016","0.00901418899025724","-0.0069359291976344","1.38352835998693","-0.606533095958864","0.160688566246976","0.00379825953298768","-0.0142145556701169","0.0185207345975208","29.1532143770859","808641.448207638","-0.0069359291976344","1.3833581599957","-0.606404028693294","0.160654169187053","0.0023459236313657","-0.00873248968910243","0.00601608776734295","0.00903823220997662","29.1508330277903","808623.861555564"
"2","interictal","1","6","-126","-10","0","11","115","18.1712948490691","0.4162933860514","0.951900742027016","-0.401800597327183","0.16894823033768","0.0176826626958422","0.0190763730870274","0.0152789880297458","0.00958934993481559","0.4162933860514","1.39865549427453","-0.618788459383885","0.153540617805749","0.000433707657098915","-0.00228322201819467","0.0152741836005268","25.2298682083386","773986.574759268","0.4162933860514","1.398508979679","-0.618766555334697","0.153536457284408","-0.00103915520328074","0.00365260209651915","0.00185736357639992","0.0095926548866072","25.2275469343332","773966.511338202"
"2","interictal","1","7","-117","-13","0","12","135","21.0631607125506","-0.175191645187391","0.948690401089432","-0.372573832603516","0.241805601276264","-0.0389251720765778","0.0139942815736279","0.0129048591795203","0.008875986395846","-0.175191645187391","1.4021198201415","-0.717782110388786","0.302188841797192","-0.0492937126773878","-0.00414363155414223","0.0129215322717321","35.8953509807929","858524.316271998","-0.175191645187391","1.40200540777729","-0.717745422327376","0.30262484836048","-0.0519668050249929","0.002205799566589","0.000518507261054494","0.00884589960000873","35.8925427539388","858507.554438364"
"2","interictal","1","8","-185","-13","0","14","203","28.3473453842504","0.00530100181009827","0.977236437907561","-0.310175624676898","0.184526203901557","0.01804003451461","-0.0159598056913164","0.00880131301352089","2.03937909453657e-05","0.00530100181009827","1.33469457278551","-0.534386156383903","0.150520804521683","0.0440279042521113","-0.0277097524985663","0.00880042589792166","31.5539847337126","827615.758828822","0.00530100181009827","1.33469438021732","-0.534385550086341","0.150519841176707","0.0440246108103091","-0.0276980599516411","0.00877122233033104","2.18803375276181e-05","31.5539847180853","827617.758714036"
"2","interictal","1","9","-223","-19","1","20","198","36.7519773876353","-0.209070510414321","0.970853845757047","-0.501863143758132","0.246241609037426","-0.0227388004317074","0.0214836169938752","0.00142524438619271","0.000999064902043423","-0.209070510414321","1.58784179206141","-0.886716283993408","0.300931702844968","-0.0557111341157079","0.0192731597251306","0.00141114515484446","54.4628534958975","958485.486761592","-0.209070510414321","1.58784036753276","-0.886735740667461","0.300987944137237","-0.0560149286051405","0.0201683114553558","-0.00019180203053689","0.00100951315012356","54.462797949372","958487.242418843"
"2","interictal","1","10","-157","-11","0","12","135","19.5763013209347","0.353252754769233","0.947531061620871","-0.417203402867746","0.235382060335209","-0.0129354521813811","0.0175831671782145","0.00163218511231612","-0.00679900939214908","0.353252754769233","1.44428746882386","-0.747174463005195","0.266634700784072","-0.0370949965457555","0.0152238084757029","0.00163278525369462","30.5371408255128","819761.419337641","0.353252754769233","1.44429855569613","-0.747071002766251","0.266382590191996","-0.0352827072889963","0.0101453031364458","0.011449548632403","-0.00679696413232803","30.5357299509436","819752.342541241"
